Month,Region,Product,Sales,Units,Revenue,Discount,Returns,CustomerRating
Jan,North,Laptop,45000,30,135000,5.2,3,4.2
Jan,South,Laptop,38000,25,95000,3.1,2,4.5
Jan,East,Phone,22000,55,121000,2.5,5,3.9
Jan,West,Phone,19000,48,91200,4.0,4,4.1
Feb,North,Laptop,52000,35,182000,6.1,4,4.3
Feb,South,Laptop,47000,31,145700,3.8,2,4.6
Feb,East,Phone,28000,70,196000,2.8,7,3.8
Feb,West,Phone,24000,60,144000,4.5,5,4.0
Mar,North,Laptop,68000,45,306000,7.2,6,4.4
Mar,South,Laptop,61000,40,244000,5.0,3,4.7
Mar,East,Phone,35000,88,308000,3.2,9,3.7
Mar,West,Phone,31000,78,241800,5.1,7,4.2
Apr,North,Laptop,55000,37,203500,5.8,4,4.1
Apr,South,Laptop,49000,33,161700,4.2,2,4.4
Apr,East,Phone,30000,75,225000,3.0,8,3.9
Apr,West,Phone,26000,65,169000,4.7,6,4.0
May,North,Laptop,62000,41,254200,6.3,5,4.5
May,South,Laptop,55000,37,203500,4.5,3,4.8
May,East,Phone,33000,82,270600,3.1,8,3.8
May,West,Phone,28000,70,196000,4.9,6,4.3
Jun,North,Laptop,71000,47,333700,7.8,7,4.6
Jun,South,Tablet,66000,44,290400,5.5,4,4.9
Jun,East,Tablet,38000,95,361000,3.5,10,3.6
Jun,West,Tablet,34000,85,289000,5.3,8,4.1
Jul,North,Tablet,58000,39,226200,6.0,5,4.2
Jul,South,Tablet,52000,35,182000,4.8,3,4.5
Jul,East,Tablet,32000,80,256000,3.3,9,3.8
Jul,West,Tablet,27000,68,183600,5.0,7,4.0
Aug,North,Tablet,64000,43,275200,6.5,6,4.3
Aug,South,Tablet,57000,38,216600,5.1,4,4.6
Aug,East,Phone,36000,90,324000,3.4,10,3.7
Aug,West,Phone,30000,75,225000,5.2,8,4.2
Sep,North,Phone,73000,49,357700,7.9,8,4.7
Sep,South,Phone,67000,44,294800,5.6,5,4.9
Sep,East,Laptop,40000,100,400000,3.7,11,3.5
Sep,West,Laptop,35000,88,308000,5.4,9,4.0
Oct,North,Laptop,78000,52,405600,8.2,9,4.8
Oct,South,Laptop,70000,47,329000,6.0,6,5.0
Oct,East,Laptop,43000,108,464400,4.0,12,3.4
Oct,West,Laptop,37000,93,344100,5.7,10,4.1
Nov,North,Phone,95000,63,598500,9.5,11,4.5
Nov,South,Phone,85000,57,484500,7.2,8,4.7
Nov,East,Phone,52000,130,676000,4.8,14,3.3
Nov,West,Phone,45000,112,504000,6.5,12,3.9
Dec,North,Laptop,120000,80,960000,11.0,14,4.6
Dec,South,Laptop,108000,72,777600,8.5,10,4.8
Dec,East,Phone,66000,165,1089000,5.5,18,3.2
Dec,West,Phone,57000,142,809400,7.8,15,4.0
